Quality Angle(degree) Distance(mm)
12 355.765625 247.5
10 357.46875 247.75
15 277.96875 877.0
8 279.5 820.75
15 288.9375 1270.75
15 293.859375 851.25
15 297.515625 1339.75
15 299.296875 1017.75
15 300.671875 1074.25
15 302.109375 1160.75
15 305.921875 1800.75
15 307.59375 1406.25
8 332.140625 255.0
8 334.015625 246.25
9 335.984375 249.75
10 337.90625 247.75
13 340.296875 245.5
15 341.5 244.25
14 342.015625 244.0
15 342.90625 244.25
15 344.5 244.0
15 347.1875 243.5
15 348.21875 243.25
15 350.390625 244.25
15 350.5 244.25
15 351.25 245.75
15 354.6875 245.75
12 356.125 247.0
