Quality Angle(degree) Distance(mm)
12 355.390625 247.0
10 357.796875 245.75
15 268.34375 1075.5
15 269.78125 1094.0
15 271.625 812.0
15 272.421875 1370.5
13 275.328125 571.0
15 275.25 1362.25
15 277.25 905.5
15 278.828125 794.25
15 279.109375 2386.0
15 284.453125 861.0
15 289.640625 1330.0
15 291.484375 992.75
15 293.078125 886.0
15 296.9375 1192.0
15 301.40625 1119.25
15 305.40625 1530.5
15 306.921875 1370.0
9 312.09375 302.5
8 331.0 252.5
8 334.5625 251.5
9 335.515625 248.75
11 338.09375 245.75
11 338.25 244.75
15 339.546875 244.5
15 341.375 244.5
15 343.03125 244.0
15 345.421875 243.5
15 345.96875 244.5
15 347.453125 244.0
15 349.765625 243.25
15 349.515625 244.25
15 350.71875 245.25
14 352.1875 245.5
14 354.171875 245.75
12 356.296875 246.75
