Quality Angle(degree) Distance(mm)
9 14.4375 294.75
15 22.75 3697.5
15 29.15625 289.0
15 33.1875 273.5
15 46.15625 305.25
15 45.71875 858.75
15 50.40625 703.75
15 51.9375 2238.0
15 55.21875 1358.75
15 60.5625 2579.5
13 62.046875 2544.5
13 64.734375 4013.5
15 68.0 660.25
15 69.453125 652.75
15 71.015625 651.25
15 72.484375 648.75
15 73.84375 648.75
15 75.1875 648.0
15 76.75 647.75
15 78.140625 645.75
15 79.734375 648.0
15 82.484375 649.5
15 83.875 651.25
15 85.453125 652.5
15 86.765625 654.5
15 88.1875 657.75
15 92.0 951.75
15 92.5 2392.5
12 93.890625 2581.25
10 95.328125 2616.75
14 96.796875 2430.75
14 99.40625 4795.75
15 101.03125 3038.75
15 102.484375 2967.75
15 103.921875 3109.5
15 106.109375 1141.75
15 109.25 965.5
15 112.09375 1012.0
10 116.6875 5693.75
8 118.0625 8318.75
15 123.421875 1204.75
15 127.609375 1405.25
15 128.78125 1791.75
10 132.90625 2643.25
15 134.6875 1585.5
15 140.5 403.25
15 141.78125 399.25
15 143.265625 395.75
15 144.890625 393.75
15 146.34375 388.75
15 147.625 386.25
15 149.0 388.5
15 150.6875 393.0
15 151.984375 404.25
15 153.40625 408.25
15 154.84375 419.0
15 157.515625 2487.0
15 161.390625 473.75
15 163.28125 433.0
15 164.796875 429.0
15 165.96875 430.25
15 167.8125 430.0
15 169.015625 430.25
15 170.515625 430.25
15 171.984375 430.25
15 173.390625 433.75
14 174.90625 423.25
15 176.296875 450.25
15 178.1875 1484.25
12 181.203125 1346.75
15 186.8125 1601.0
8 188.40625 1374.75
15 189.703125 1533.0
15 191.078125 1702.25
15 194.1875 1363.0
15 195.515625 1545.25
15 199.84375 1563.0
15 203.3125 975.0
15 203.765625 3036.0
15 205.609375 1675.75
15 212.046875 944.75
15 213.640625 851.5
13 218.796875 1391.5
15 220.265625 1317.75
15 226.625 857.25
15 227.953125 906.0
15 231.3125 752.5
15 231.390625 2210.75
15 235.375 810.0
15 237.296875 675.75
15 238.625 679.25
15 240.171875 675.75
15 242.984375 671.75
15 247.453125 669.25
15 250.25 670.0
15 251.78125 670.0
15 253.28125 670.0
15 254.671875 673.25
15 256.0 672.5
15 257.5 676.0
15 260.296875 728.25
15 260.421875 2134.5
15 263.296875 2161.75
15 266.15625 2187.5
15 278.21875 551.0
15 278.578125 896.25
15 279.96875 973.75
15 280.46875 2446.0
15 283.375 2516.5
11 284.796875 2569.25
15 289.6875 1254.5
15 290.96875 1436.75
15 293.71875 1778.5
15 295.21875 1615.0
15 296.6875 1623.5
15 300.578125 3293.0
15 302.296875 2039.0
15 304.203125 1206.75
15 305.515625 1408.0
15 307.109375 1253.0
15 308.5 1306.25
