Quality Angle(degree) Distance(mm)
15 169.265625 396.25
15 170.859375 389.25
15 172.390625 372.5
15 174.0 357.5
15 175.59375 355.0
15 177.125 358.0
15 178.578125 363.0
15 179.703125 369.5
15 180.84375 377.75
15 182.375 389.0
15 183.59375 410.0
15 188.28125 1512.5
15 189.578125 1691.0
15 195.671875 1293.5
14 196.40625 3498.5
15 198.5625 1303.0
15 199.859375 1493.25
15 203.703125 3038.75
15 213.953125 402.0
15 218.46875 410.5
12 219.734375 425.5
15 221.21875 2419.0
13 222.6875 2406.75
15 224.609375 1365.0
15 226.4375 969.75
15 241.65625 685.75
15 243.0625 681.25
15 244.546875 684.0
15 247.34375 683.25
15 248.8125 681.0
15 250.34375 683.0
15 251.71875 681.25
15 253.3125 683.25
15 254.6875 685.75
15 256.03125 742.75
15 257.390625 780.75
15 262.4375 1233.25
15 266.15625 732.25
15 274.09375 1231.5
15 277.0 1081.0
15 280.125 957.75
12 289.234375 2844.5
9 292.90625 1115.25
15 305.234375 2950.5
15 306.6875 2934.25
8 346.140625 251.5
9 346.546875 255.5
