Quality Angle(degree) Distance(mm)
15 119.0625 447.0
15 125.34375 1429.5
15 128.078125 1848.5
14 129.421875 2008.75
15 131.125 1553.0
15 132.609375 1515.5
15 136.8125 1718.5
15 138.109375 2063.0
15 142.015625 455.75
15 143.390625 449.25
15 145.0 444.25
15 146.640625 444.0
15 148.0 448.0
15 149.453125 459.25
15 150.65625 478.75
15 151.96875 497.75
15 156.859375 2246.75
15 162.046875 504.0
15 163.53125 489.0
15 164.890625 486.5
15 166.359375 491.75
15 167.890625 499.25
15 169.390625 503.75
15 170.75 507.75
15 172.21875 508.25
15 175.984375 639.25
15 177.453125 623.25
15 178.953125 610.5
15 180.265625 598.25
15 181.984375 586.0
15 183.359375 574.5
15 184.8125 565.0
15 186.234375 569.0
15 187.765625 1228.0
15 192.046875 1427.0
15 194.890625 1427.75
15 196.328125 1517.0
15 197.984375 1229.25
15 199.421875 1216.0
15 211.8125 2688.5
15 213.28125 2696.5
15 217.96875 1680.75
15 221.90625 778.0
15 228.796875 876.5
15 230.09375 1021.25
15 234.609375 912.5
15 250.578125 839.0
15 252.1875 826.75
15 254.921875 485.25
15 261.6875 1234.25
15 265.5625 2190.0
10 271.328125 2316.75
15 273.59375 1031.75
15 275.09375 929.5
15 279.28125 1093.0
15 283.1875 1543.25
15 284.734375 1415.25
15 286.140625 1462.75
10 293.34375 1485.25
15 305.171875 1269.75
15 306.578125 1320.0
9 346.515625 250.75
