Quality Angle(degree) Distance(mm)
11 356.859375 248.0
9 357.65625 249.25
15 74.71875 1117.75
15 76.25 1110.75
15 78.0625 830.75
15 80.546875 1105.75
15 84.796875 1078.25
15 86.171875 1127.75
15 87.65625 1105.0
15 89.078125 1085.25
15 90.515625 1084.25
15 92.015625 1071.0
15 93.390625 1048.5
15 94.921875 1040.75
15 96.328125 1065.25
15 97.703125 1075.25
15 99.28125 962.5
15 100.75 944.25
15 103.5 1033.75
15 104.890625 1065.25
15 106.09375 1226.0
15 107.890625 988.25
15 109.21875 1000.5
15 110.578125 1105.5
15 111.9375 1130.0
15 113.359375 1092.75
15 114.75 1204.25
15 116.75 781.5
15 118.296875 786.75
15 118.890625 1313.25
15 120.296875 1314.75
15 121.796875 1306.0
15 123.21875 1298.0
15 124.671875 1313.75
15 126.09375 1290.75
15 127.84375 973.25
15 131.765625 1396.5
15 133.140625 1472.0
15 134.546875 1499.5
15 135.921875 1515.5
15 137.359375 1574.0
15 138.734375 1640.5
15 140.140625 1671.75
15 141.5 1819.75
15 142.9375 1900.5
15 144.328125 1978.0
15 145.78125 1997.5
15 147.171875 2059.75
15 151.328125 736.0
15 152.703125 724.75
15 154.25 722.0
15 155.5625 730.25
15 156.96875 751.0
15 158.3125 786.0
15 159.875 3095.0
15 161.3125 3141.5
15 163.875 859.25
15 165.421875 841.5
15 166.859375 822.0
15 168.390625 834.75
15 169.734375 853.0
15 174.109375 3929.25
15 175.609375 3292.0
15 177.3125 2039.0
15 178.5 3002.75
15 180.0 2498.75
15 181.453125 2354.75
15 183.203125 1550.25
15 184.53125 1755.25
15 185.890625 1986.25
15 187.515625 1541.75
15 188.90625 1704.0
9 190.390625 1599.75
15 191.828125 1496.5
15 193.203125 1585.5
15 194.734375 1474.25
15 198.640625 2494.5
15 200.28125 1758.75
15 203.234375 1631.0
15 204.96875 1179.5
15 205.796875 2551.25
15 207.890625 1179.75
15 209.5625 995.75
15 210.921875 992.25
15 218.484375 799.5
15 220.953125 1029.5
15 224.40625 2399.25
15 229.375 1189.25
15 245.453125 922.75
15 251.796875 2114.75
15 254.078125 962.5
15 260.234375 766.5
15 268.984375 655.25
15 270.46875 660.25
15 273.375 634.75
15 274.625 709.25
15 280.640625 1513.25
15 283.046875 745.25
15 284.3125 797.5
15 290.59375 1567.0
15 292.140625 1455.0
15 293.984375 994.0
15 295.3125 1071.25
15 299.265625 1485.5
15 303.828125 1185.25
15 307.765625 1637.5
9 334.671875 251.5
9 335.765625 248.75
12 337.5 248.75
12 339.015625 246.25
14 340.09375 246.25
15 342.75 243.75
15 342.734375 245.5
15 344.40625 245.25
15 345.75 245.25
15 348.21875 245.0
15 350.484375 244.0
15 349.84375 245.0
15 352.78125 245.75
14 352.640625 245.25
13 354.140625 248.0
