Quality Angle(degree) Distance(mm)
15 141.8125 1365.25
15 143.359375 1213.25
15 144.625 1408.5
15 146.0 1480.0
14 147.28125 1836.5
15 148.546875 2268.0
15 149.96875 2374.75
15 151.375 2329.75
15 153.140625 1595.0
15 154.390625 1975.0
15 155.78125 1930.5
15 157.1875 2153.25
15 159.859375 2765.0
15 161.46875 2120.0
15 162.734375 2856.5
15 164.109375 3195.25
15 165.640625 2587.0
13 167.015625 2914.25
12 168.328125 3858.0
15 169.921875 2632.25
15 171.609375 1784.5
15 173.03125 1784.25
15 174.46875 1810.75
15 177.359375 1698.25
15 178.78125 1698.0
15 180.25 1720.25
12 183.96875 5728.0
15 185.859375 2071.5
15 187.375 1798.0
15 188.6875 2179.25
15 194.25 2850.5
15 197.25 2276.25
15 200.21875 1890.5
15 202.9375 2578.25
15 204.625 1799.75
15 207.75 1363.5
15 209.75 895.25
15 217.15625 792.25
15 221.90625 1661.75
15 226.609375 1168.75
14 234.453125 2501.75
15 237.34375 2430.75
15 238.78125 2386.75
15 246.6875 1100.5
15 251.46875 833.5
15 263.234375 2123.5
15 265.75 804.75
15 273.265625 2174.25
10 274.6875 2177.5
15 277.53125 2192.5
15 282.90625 832.0
15 293.875 1174.25
15 295.375 1141.5
15 296.765625 1176.0
15 299.765625 1089.25
15 301.25 1046.5
15 304.171875 992.0
15 304.890625 1883.25
15 308.140625 1244.5
15 316.078125 3340.5
15 317.8125 1919.0
15 319.484375 1442.5
15 320.90625 1535.0
