Quality Angle(degree) Distance(mm)
12 356.28125 242.25
9 358.5 244.25
15 147.53125 447.0
15 148.921875 436.75
15 150.859375 412.0
15 152.296875 404.0
15 153.859375 394.25
15 155.359375 390.0
15 156.875 392.0
15 157.9375 395.25
15 159.546875 399.75
15 160.765625 410.5
15 161.8125 432.5
15 164.71875 3943.75
15 167.59375 3968.75
15 172.484375 391.5
15 174.234375 374.5
15 175.9375 360.25
15 177.359375 356.25
15 178.578125 358.75
15 180.140625 364.75
15 181.3125 366.75
15 182.859375 367.25
15 184.078125 362.5
15 189.515625 1810.5
15 190.890625 2032.25
15 192.328125 1978.0
15 194.171875 1260.0
15 196.90625 1436.25
15 211.0 2005.5
15 215.328125 1858.0
15 216.75 1910.75
15 218.015625 2569.25
15 219.9375 1405.75
11 223.765625 2408.5
15 227.703125 888.5
12 233.859375 2199.25
15 235.3125 2178.25
15 236.75 2171.5
15 239.796875 601.25
15 241.40625 595.25
15 242.828125 591.25
15 244.34375 589.0
15 245.609375 586.5
15 247.203125 585.75
15 248.5 583.25
15 250.046875 580.5
15 251.421875 581.75
15 252.890625 580.75
15 254.359375 579.5
15 255.71875 582.0
15 257.203125 580.25
15 258.59375 582.25
15 260.046875 583.75
15 261.390625 586.5
15 263.0 588.0
15 266.65625 731.5
15 275.375 2192.5
15 276.828125 2211.25
15 279.1875 884.25
15 283.46875 930.75
15 286.328125 896.25
15 289.25 884.25
12 303.90625 3153.75
9 311.8125 293.0
7 332.171875 243.75
9 333.9375 243.75
12 334.796875 243.0
13 335.390625 240.5
15 336.625 241.25
15 339.671875 240.0
15 340.015625 239.75
15 343.046875 239.0
15 342.796875 238.75
15 343.8125 238.5
15 345.359375 238.5
15 346.765625 238.75
15 348.28125 239.75
15 349.609375 240.0
15 352.84375 240.0
15 352.4375 241.25
15 354.53125 242.5
14 355.890625 243.25
