Quality Angle(degree) Distance(mm)
8 357.515625 246.0
15 295.84375 1269.5
15 297.546875 1015.75
10 299.0625 999.25
15 300.421875 1094.0
15 304.734375 1079.5
15 306.125 1117.75
8 311.46875 294.75
8 332.40625 252.5
10 334.71875 245.75
11 335.0625 245.75
13 336.578125 246.5
15 339.40625 243.75
15 340.078125 243.5
15 342.46875 243.75
15 343.671875 243.75
15 345.921875 242.5
15 345.25 242.75
15 346.46875 243.5
15 348.328125 244.75
15 351.421875 244.0
15 350.875 244.75
14 353.984375 245.75
12 355.75 246.5
10 355.421875 247.0
