Quality Angle(degree) Distance(mm)
15 120.34375 1450.75
13 126.828125 4389.5
15 129.71875 4384.0
15 131.78125 1542.5
14 135.953125 1711.25
15 137.375 1749.5
15 138.78125 1887.0
15 140.15625 2019.75
15 141.5 2240.0
15 142.8125 2743.0
15 144.109375 3880.5
15 145.625 3201.0
9 147.078125 3105.0
15 148.640625 2291.75
15 150.421875 1488.0
15 151.875 1474.5
15 153.28125 1495.25
15 154.765625 1445.75
15 156.28125 1413.25
15 157.703125 1405.75
15 159.125 1428.5
15 160.578125 1480.25
15 161.84375 1670.75
15 163.578125 1337.5
15 164.75 1666.75
15 167.65625 1617.75
15 169.140625 1587.25
15 170.5625 1566.0
14 174.5 2634.25
15 175.796875 3530.0
15 177.34375 2931.0
15 179.03125 1909.25
15 180.25 2530.5
15 181.71875 2305.75
15 183.296875 1882.25
15 184.796875 1745.0
15 189.03125 1990.75
15 192.015625 1687.75
15 194.890625 1664.25
15 198.125 1232.5
15 199.484375 1238.5
15 208.328125 1130.75
15 209.015625 2531.0
15 210.453125 2487.5
15 213.6875 1545.0
15 221.265625 1043.0
15 222.046875 2139.75
15 225.796875 955.75
15 226.375 2069.5
15 227.765625 2046.25
15 230.6875 2004.75
15 232.09375 1983.75
15 236.4375 1943.75
15 239.3125 1923.5
15 240.765625 1923.75
15 242.171875 1924.25
15 243.640625 1921.0
15 245.078125 1916.5
15 246.515625 1928.25
15 247.90625 1921.5
15 249.390625 1923.75
15 250.828125 1908.75
15 254.546875 909.75
15 258.015625 1921.0
15 259.421875 1957.0
15 260.84375 1955.25
15 262.328125 1965.5
15 263.75 1980.25
15 266.140625 874.25
14 270.890625 2049.75
15 273.40625 833.25
15 277.4375 925.5
15 281.796875 855.75
15 288.90625 904.75
15 290.140625 1054.0
15 294.390625 1067.5
14 301.421875 1225.0
15 302.703125 1432.75
15 304.234375 1265.0
9 304.96875 3325.0
15 308.359375 1501.25
15 309.8125 1443.25
9 315.09375 294.75
