Quality Angle(degree) Distance(mm)
10 357.9375 248.5
15 192.703125 827.0
15 196.328125 1350.75
15 198.25 879.25
15 200.90625 1063.75
15 202.3125 1047.25
15 206.09375 1771.25
15 208.125 1016.5
15 209.6875 956.25
15 213.0625 2494.0
15 217.859375 1391.5
15 223.21875 2226.25
15 227.484375 431.5
15 228.984375 2146.0
15 231.875 667.5
15 234.5 750.75
15 236.34375 631.0
15 240.625 641.0
15 240.546875 2032.0
15 242.59375 1144.75
15 246.75 1304.5
15 249.203125 680.0
15 249.171875 2060.25
15 252.03125 716.0
15 253.578125 2057.0
15 256.46875 2072.75
15 267.765625 801.5
15 282.140625 779.25
13 284.859375 852.25
15 286.15625 860.75
15 291.90625 879.0
15 301.359375 1590.25
15 302.875 1362.75
13 304.390625 1353.0
15 306.03125 1158.75
9 334.453125 253.0
10 335.078125 247.75
12 336.734375 246.75
12 337.75 247.25
15 339.828125 246.0
15 342.8125 244.5
15 342.9375 244.75
15 344.859375 245.0
15 347.140625 243.5
15 346.515625 245.0
15 348.03125 244.75
15 350.5 245.0
15 351.703125 244.75
14 354.21875 246.5
14 353.859375 246.25
12 355.4375 247.5
