Quality Angle(degree) Distance(mm)
15 357.921875 236.0
15 359.359375 237.5
15 134.703125 1067.5
15 138.0 3405.75
15 142.6875 1796.5
15 144.1875 1720.75
13 145.640625 1629.25
15 147.109375 1605.5
15 151.125 421.75
15 152.703125 418.25
15 154.0 399.5
15 155.734375 393.75
15 157.3125 393.0
15 158.40625 393.5
15 160.125 395.5
15 161.3125 402.25
15 162.671875 410.25
15 164.25 420.5
15 166.65625 3741.75
15 173.625 471.0
15 175.21875 439.0
15 176.875 439.0
15 178.21875 438.25
15 179.890625 418.25
15 181.203125 411.75
15 182.75 412.75
15 184.296875 414.5
15 191.515625 1647.5
15 192.9375 1610.75
15 194.5625 1359.25
11 205.859375 1646.0
15 207.5 1300.75
15 209.078125 1215.75
15 214.765625 1191.25
15 216.34375 1109.75
15 217.96875 961.75
15 218.734375 1691.5
15 220.4375 1252.75
15 224.25 677.75
15 226.09375 568.75
15 226.0 1576.25
15 232.0 1156.5
15 233.4375 1103.25
15 234.234375 2254.75
15 236.28125 1143.75
15 238.03125 944.0
15 240.09375 653.5
15 243.796875 873.5
15 245.1875 899.75
15 246.765625 822.0
15 248.25 818.0
15 249.65625 814.0
15 251.109375 811.75
15 252.65625 809.75
15 253.953125 807.0
15 255.46875 806.75
15 256.921875 804.25
15 258.265625 806.0
15 259.65625 806.0
15 261.25 806.0
15 262.578125 808.25
15 264.0 821.0
15 267.265625 2063.75
15 268.65625 2104.25
15 271.5 2138.5
15 277.046875 744.0
15 277.171875 2202.5
15 278.578125 2234.75
15 280.015625 2248.5
15 283.875 852.25
15 293.125 1597.5
15 300.71875 1115.25
11 318.09375 289.75
9 338.65625 242.0
10 341.046875 239.25
12 341.890625 238.75
13 344.421875 237.5
15 344.78125 238.0
15 347.28125 236.0
15 348.71875 235.25
15 349.078125 234.75
15 351.578125 234.75
15 351.234375 235.25
15 353.53125 235.25
15 354.078125 235.75
15 355.59375 235.75
