Quality Angle(degree) Distance(mm)
10 356.34375 246.75
7 357.59375 246.25
15 299.875 1685.5
14 301.140625 2022.25
9 302.609375 1874.0
15 304.328125 1405.75
15 305.859375 1297.75
15 307.5625 1047.5
8 333.4375 253.25
9 335.796875 249.5
13 336.75 247.25
12 338.828125 246.5
15 339.953125 247.5
15 340.65625 246.25
15 342.890625 244.0
15 343.546875 245.0
15 347.0625 244.5
15 346.53125 244.75
15 348.71875 244.5
15 349.9375 245.5
15 352.8125 245.25
14 354.265625 246.5
15 354.78125 246.75
11 355.640625 248.0
