Quality Angle(degree) Distance(mm)
9 356.875 242.75
15 135.609375 2441.5
15 137.046875 2568.0
15 138.5 2462.5
15 139.875 2665.75
15 144.1875 424.0
15 145.8125 423.0
15 147.328125 415.5
15 148.671875 413.0
15 150.09375 414.0
15 151.546875 412.75
15 153.15625 402.0
15 154.75 400.5
15 155.75 410.75
15 157.171875 420.0
15 160.0625 2463.75
15 165.859375 2438.5
15 169.921875 426.75
15 171.75 419.25
15 173.171875 414.0
15 174.5 406.25
15 176.140625 397.5
15 177.46875 395.5
15 179.203125 401.75
15 180.375 415.25
15 181.5625 429.5
15 183.109375 436.75
15 184.40625 447.0
15 187.796875 1414.5
15 190.703125 603.25
15 201.703125 2555.0
10 203.140625 2509.5
15 207.0625 880.5
15 208.578125 870.5
15 208.921875 2295.75
15 210.375 2296.25
15 211.859375 2272.75
15 214.203125 910.5
15 215.609375 920.25
15 220.484375 2181.5
15 221.90625 2186.5
15 223.359375 2204.25
15 224.84375 2098.75
15 227.703125 2180.5
15 229.125 2163.5
15 230.5625 2146.75
15 231.984375 2134.25
15 234.6875 727.25
15 236.296875 722.25
15 237.609375 719.25
15 239.109375 715.5
15 240.484375 712.25
15 242.09375 709.75
15 243.359375 708.0
15 244.8125 705.5
15 246.359375 703.5
15 247.796875 703.5
15 249.234375 703.0
15 250.59375 703.75
15 252.140625 704.25
15 253.5 708.25
15 255.046875 2093.0
15 256.484375 2065.5
15 257.90625 2093.5
15 262.25 2149.75
15 266.6875 619.0
15 266.515625 2200.25
15 267.96875 2224.75
15 273.109375 1024.0
15 276.484375 2394.25
15 279.3125 2474.75
15 281.78125 894.0
15 282.453125 1757.5
15 284.78125 873.75
15 286.0625 891.75
15 288.828125 963.5
15 298.515625 1272.5
15 299.984375 1278.0
15 301.4375 1324.75
15 302.171875 3590.5
13 311.1875 285.25
9 332.734375 243.75
12 333.46875 242.0
13 335.140625 240.25
15 338.3125 239.0
15 337.828125 239.25
15 339.609375 238.5
15 342.625 238.5
15 342.359375 237.5
15 344.921875 237.75
15 346.9375 238.25
15 348.375 238.5
15 348.90625 239.25
15 349.75 239.75
15 351.109375 240.5
15 353.078125 240.5
15 355.5 242.25
13 356.9375 242.5
