Quality Angle(degree) Distance(mm)
10 357.140625 248.0
8 358.296875 246.75
15 301.203125 1081.75
15 302.703125 1042.75
15 303.984375 1132.25
15 305.515625 1124.25
15 306.78125 1233.25
15 308.171875 1285.25
10 335.625 249.75
12 336.171875 248.5
10 337.328125 248.25
14 339.5 246.75
15 341.21875 246.25
15 341.734375 245.0
15 344.078125 244.75
15 344.828125 244.75
15 346.796875 245.25
15 347.609375 245.25
15 350.328125 245.0
15 350.65625 245.5
14 353.171875 246.25
14 353.53125 247.25
13 356.609375 247.25
