Quality Angle(degree) Distance(mm)
14 357.8125 243.25
12 358.109375 244.25
15 286.625 571.0
15 286.359375 1667.5
15 293.1875 2631.0
15 295.46875 1046.5
15 296.890625 1069.75
15 299.40625 1535.25
15 302.109375 1740.5
15 306.40625 1880.75
15 308.125 1347.0
9 333.421875 241.25
12 336.328125 242.75
10 337.765625 241.75
14 339.203125 241.25
15 339.421875 240.75
15 340.53125 240.75
15 343.5 239.25
15 344.1875 238.75
15 345.75 239.75
15 346.109375 239.5
15 349.25 239.25
15 348.984375 239.75
15 350.328125 240.0
15 351.765625 240.75
15 354.71875 241.25
15 355.15625 242.75
