Quality Angle(degree) Distance(mm)
15 39.03125 2865.75
15 40.484375 2705.5
15 42.828125 1007.75
15 46.953125 1144.75
15 47.65625 2770.0
15 50.640625 695.75
9 50.578125 2552.0
15 56.234375 771.75
15 57.984375 676.5
15 60.734375 710.5
14 60.5625 3722.0
15 63.625 2622.5
15 65.0625 2622.5
15 66.53125 2533.5
15 67.9375 2674.25
15 69.1875 4101.75
15 72.09375 761.5
15 73.671875 762.25
15 75.125 762.25
15 76.421875 761.5
15 78.015625 761.5
15 79.3125 765.5
15 80.765625 764.75
15 82.328125 765.75
15 83.78125 769.0
15 85.015625 773.5
15 86.546875 776.25
15 87.984375 781.75
15 89.296875 787.0
15 96.46875 853.5
13 96.5 4175.75
15 99.203125 891.25
15 103.3125 1059.5
15 103.859375 2811.5
15 106.15625 1050.0
15 106.78125 2727.5
15 108.171875 2743.75
15 109.625 2768.5
15 113.9375 2875.0
15 115.375 2923.75
15 119.671875 3057.75
15 121.09375 3091.5
15 124.234375 1923.5
15 127.171875 1827.75
15 128.703125 1660.0
15 130.1875 1530.75
15 133.03125 1660.75
15 137.109375 410.5
15 139.0 394.0
15 140.296875 383.25
15 141.890625 376.25
15 143.28125 372.25
15 144.984375 370.0
15 146.171875 372.5
15 147.46875 375.75
15 148.953125 380.75
15 150.5625 389.75
15 151.5 401.25
15 153.0625 411.75
14 154.3125 439.75
15 155.796875 2447.75
15 157.234375 2581.25
15 158.84375 1958.0
15 160.296875 1903.25
15 164.65625 420.75
15 166.1875 398.25
15 168.0625 368.25
15 169.4375 361.25
15 170.65625 360.25
15 172.546875 362.25
15 173.828125 366.5
15 175.03125 370.0
15 176.4375 375.25
15 178.046875 380.75
15 179.140625 387.75
15 180.734375 401.25
15 192.203125 1442.25
15 194.578125 740.25
15 198.34375 1043.25
15 199.71875 1063.75
15 200.34375 2841.5
15 202.640625 1089.25
15 203.28125 2807.0
15 209.046875 2713.0
15 210.515625 2655.0
15 211.96875 2606.5
15 213.390625 2558.75
15 216.515625 1771.0
15 218.765625 933.25
15 227.21875 503.0
15 227.171875 1067.5
15 227.859375 2232.0
15 232.421875 1635.75
15 233.6875 2148.0
15 236.140625 815.0
15 246.578125 691.25
15 248.03125 690.25
15 249.40625 692.75
15 250.953125 693.75
15 252.40625 694.25
15 253.859375 697.0
15 255.171875 698.25
15 256.65625 702.75
15 258.078125 705.0
15 259.484375 711.75
15 261.015625 715.5
15 263.71875 726.0
15 267.125 1383.0
15 269.625 2222.5
15 271.4375 1434.5
15 272.8125 1481.25
15 276.4375 799.75
15 284.265625 1475.0
10 285.625 1527.5
15 287.0625 1503.0
15 288.84375 1135.25
15 293.109375 1123.25
15 294.578125 1127.5
15 296.015625 1184.75
15 297.6875 953.25
15 298.484375 1674.0
15 300.03125 1594.5
15 301.265625 1907.75
15 302.875 1663.0
15 306.9375 2262.0
9 345.734375 280.25
