Quality Angle(degree) Distance(mm)
15 129.0 1875.75
15 130.53125 1680.0
15 132.015625 1588.75
15 137.609375 302.75
15 138.859375 291.25
15 140.375 284.5
15 142.71875 282.25
15 143.234375 281.0
15 144.984375 278.0
15 146.734375 275.0
15 148.171875 272.0
15 149.28125 269.25
15 151.453125 266.5
15 152.84375 266.25
15 160.734375 1698.75
15 162.171875 1681.5
15 168.0625 365.25
15 170.5 327.25
15 171.46875 317.25
15 173.0625 317.75
15 174.6875 319.5
15 176.359375 322.0
15 177.5625 326.5
15 178.59375 330.25
15 180.3125 332.75
15 181.984375 334.25
15 183.125 336.25
15 184.5 343.25
15 186.84375 1364.5
15 188.203125 1523.25
14 189.5 1665.0
15 191.234375 1264.5
15 195.4375 1360.5
15 199.1875 3122.25
15 202.09375 2965.25
15 205.046875 2645.25
15 206.515625 2531.0
15 207.9375 2502.25
15 209.390625 2433.5
15 210.828125 2390.5
15 212.3125 2335.75
15 213.734375 2284.25
15 215.171875 2268.0
15 216.640625 2254.25
15 219.328125 794.75
15 222.421875 2148.5
15 228.171875 2092.25
15 229.625 2103.5
15 235.125 776.25
15 238.359375 1861.5
15 239.765625 1880.25
15 241.234375 1878.5
15 244.109375 668.75
15 249.609375 741.5
15 249.859375 1828.5
15 251.6875 1270.75
15 254.046875 705.75
15 254.203125 1850.0
15 255.984375 1278.75
15 265.671875 1948.5
15 267.125 1947.0
15 271.453125 2001.0
15 272.890625 2019.75
15 275.296875 835.0
15 276.640625 895.25
15 279.53125 897.75
15 280.71875 1034.0
15 281.34375 2213.25
15 292.734375 2608.0
15 294.90625 1174.5
15 296.328125 1160.25
15 297.015625 2818.25
15 298.5625 2901.5
12 299.96875 2984.25
15 306.25 1388.0
9 346.9375 253.0
