Quality Angle(degree) Distance(mm)
15 250.53125 691.0
15 251.953125 688.0
15 253.296875 687.5
15 254.875 685.25
15 256.1875 686.5
15 257.59375 686.5
15 259.09375 685.5
15 260.5625 687.0
15 261.96875 687.75
15 263.3125 689.0
15 264.796875 691.25
15 266.171875 694.25
15 267.765625 696.0
15 269.046875 697.0
15 270.609375 2141.0
15 272.046875 2149.75
9 274.828125 2174.75
15 277.6875 2202.0
15 280.109375 909.5
15 285.46875 1147.5
15 287.390625 826.75
15 288.859375 839.0
15 290.28125 846.75
15 295.5625 1131.5
15 297.125 1036.75
15 298.5 1079.25
15 299.125 2717.75
15 301.28125 1171.25
13 303.546875 682.25
13 303.390625 2905.5
15 305.515625 1200.25
15 306.21875 3047.5
15 307.671875 3148.0
15 309.0625 3244.0
15 310.8125 1914.5
15 314.59375 859.25
