Quality Angle(degree) Distance(mm)
15 16.0625 841.0
15 17.4375 898.5
15 18.734375 989.75
13 21.78125 824.5
15 30.921875 678.0
15 34.4375 1035.25
15 49.640625 2128.0
15 55.296875 2516.5
15 61.046875 755.5
15 65.453125 426.25
15 66.0625 1200.25
12 68.859375 1248.5
15 70.203125 1338.0
15 71.71875 1264.5
15 73.21875 1251.5
15 74.53125 1366.25
15 78.046875 822.5
15 78.203125 3632.0
15 80.265625 1413.0
15 82.609375 769.75
10 83.890625 4051.75
15 85.296875 4171.0
15 86.734375 4145.0
15 88.390625 2733.75
15 89.8125 2688.5
10 91.078125 3896.25
15 95.296875 486.25
15 95.5625 2827.75
15 97.46875 1448.25
15 103.71875 994.75
15 105.265625 928.5
15 105.578125 3006.25
13 106.84375 4852.75
15 108.4375 3187.75
15 109.703125 5156.25
7 111.078125 7162.0
15 112.75 3391.5
9 114.03125 5225.5
12 115.453125 5249.25
15 117.9375 1086.25
15 119.4375 1050.5
15 120.90625 999.5
15 123.6875 1083.5
15 128.515625 3859.5
15 130.46875 1616.5
15 133.375 1618.25
15 134.78125 1752.0
14 136.015625 2281.25
15 137.5625 1925.25
15 138.875 2400.75
15 140.375 2103.5
15 141.875 2056.5
15 143.296875 2003.0
15 144.765625 1986.25
15 146.21875 1954.0
15 147.59375 2074.5
15 149.09375 1978.0
15 153.25 713.75
15 154.6875 707.25
15 156.234375 706.25
15 157.609375 715.5
15 158.953125 731.75
15 160.3125 750.75
15 162.828125 975.5
15 164.25 937.5
15 165.734375 917.25
15 167.234375 886.75
15 168.6875 887.25
15 170.046875 928.5
15 170.625 2100.5
15 172.09375 1996.5
15 173.640625 1808.5
15 175.09375 1785.0
15 176.546875 1656.0
15 178.046875 1563.75
15 179.515625 1525.25
15 180.984375 1507.0
15 182.390625 1467.5
15 183.890625 1430.5
15 185.359375 1394.0
15 186.78125 1388.5
15 188.203125 1359.5
15 189.671875 1378.0
13 191.15625 1361.0
15 192.546875 1370.5
15 193.984375 1370.5
15 195.4375 1372.0
15 196.875 1393.25
15 198.328125 1391.75
15 199.6875 1426.25
15 201.1875 1371.5
15 202.5625 1455.5
15 207.5 934.25
15 207.953125 2449.25
15 209.40625 2382.75
15 210.859375 2342.5
15 212.265625 2323.0
15 213.703125 2293.75
15 219.53125 2178.25
15 221.0 2117.75
15 222.4375 2093.75
15 223.859375 2081.0
15 225.3125 2129.75
15 226.71875 2123.75
15 229.0625 899.25
15 232.421875 2208.0
15 234.859375 861.0
15 238.1875 2161.75
15 241.078125 2139.75
15 242.484375 2134.25
15 245.765625 1323.25
15 249.140625 908.0
15 250.609375 938.5
15 254.0 2121.25
15 255.40625 2126.5
15 257.96875 827.75
15 259.34375 838.5
15 261.546875 563.5
15 266.140625 1096.25
12 274.03125 2338.0
15 276.59375 817.5
15 282.921875 1512.25
15 284.3125 1544.25
15 290.5 1070.25
15 291.890625 1085.75
15 295.671875 1776.25
15 297.078125 1813.0
15 301.75 1321.0
15 303.25 1297.5
15 304.484375 1536.25
15 307.375 1532.25
15 309.171875 1152.5
10 344.921875 269.25
