Quality Angle(degree) Distance(mm)
10 358.046875 244.25
9 358.59375 251.5
15 289.234375 1507.5
15 292.640625 949.75
15 295.4375 975.25
15 298.609375 873.75
15 303.859375 1188.0
15 305.640625 936.25
9 332.265625 243.0
11 334.078125 242.75
12 336.296875 241.5
15 337.734375 242.25
15 339.171875 240.5
15 338.625 239.5
15 341.171875 239.0
15 341.984375 238.75
15 343.640625 238.25
15 346.359375 238.75
15 346.234375 239.0
15 347.984375 239.25
15 349.140625 239.75
15 350.828125 240.5
15 353.546875 241.0
15 353.21875 242.75
13 354.8125 243.0
