Quality Angle(degree) Distance(mm)
15 259.953125 1855.25
15 272.53125 747.0
6 272.765625 1918.75
15 274.25 1853.5
15 275.625 1850.5
15 277.359375 1304.5
15 278.921875 1130.25
15 280.46875 1071.75
15 281.890625 1062.5
15 283.28125 1062.25
15 284.765625 1065.75
15 286.1875 1065.25
15 287.578125 1059.25
15 289.109375 1042.0
15 290.515625 1043.25
15 291.96875 1049.75
15 293.421875 1009.75
15 294.734375 1041.25
15 296.140625 1110.25
15 297.59375 1094.75
15 298.921875 1183.25
15 300.390625 1185.75
15 301.828125 1167.0
15 303.203125 1216.5
15 304.953125 1011.75
15 306.125 1206.25
15 307.5625 1171.25
15 308.9375 1264.5
15 310.34375 1278.5
15 311.796875 1300.0
15 313.1875 1322.0
15 317.375 1472.0
15 318.796875 1482.75
