Quality Angle(degree) Distance(mm)
9 356.609375 252.25
15 231.875 132.5
15 233.3125 133.0
14 235.734375 134.25
15 242.140625 1047.25
15 243.65625 1011.5
15 247.0 804.25
15 248.140625 885.0
15 252.515625 900.75
12 255.015625 1233.5
15 256.515625 1172.25
15 260.375 661.25
15 260.25 2072.75
15 264.265625 786.0
15 268.53125 825.25
15 272.71875 848.0
15 278.203125 1028.25
15 290.25 2582.5
15 293.890625 1035.0
15 297.0625 883.5
15 300.78125 1410.5
15 302.265625 1426.25
15 303.75 1283.0
15 305.4375 1107.25
15 306.609375 1284.25
9 334.03125 253.0
9 336.546875 247.5
12 336.53125 245.75
13 338.078125 244.5
15 340.625 243.5
15 342.0625 244.5
15 341.59375 244.25
15 343.125 243.5
15 345.171875 243.5
15 345.734375 243.5
15 349.265625 243.5
15 348.703125 244.25
15 351.09375 244.75
15 351.890625 246.0
14 353.234375 246.0
11 356.453125 246.75
