Quality Angle(degree) Distance(mm)
15 142.90625 1364.5
15 147.03125 409.25
15 148.21875 393.5
15 149.765625 406.0
15 151.53125 396.0
15 152.640625 393.25
15 154.0625 384.75
15 155.65625 392.25
15 157.046875 398.25
15 158.359375 398.5
15 159.84375 402.5
15 161.03125 413.0
15 162.328125 430.0
15 164.40625 1376.25
15 171.640625 387.25
15 172.859375 380.75
15 174.5625 381.25
15 175.75 379.75
15 177.3125 379.25
15 178.578125 378.5
15 180.296875 377.25
15 181.796875 376.25
15 183.109375 376.25
15 184.25 388.75
15 185.640625 407.75
15 191.21875 2505.75
15 193.015625 1504.75
15 194.40625 1584.0
15 197.328125 1520.5
15 204.65625 1401.75
15 208.453125 2785.0
10 211.28125 2981.75
15 216.609375 940.5
15 218.203125 892.75
15 218.515625 2611.75
15 220.84375 993.25
15 225.75 2460.25
15 229.578125 951.5
15 231.015625 948.0
15 242.5625 911.75
15 244.0625 887.75
15 244.5 2167.5
15 248.78125 684.75
15 250.265625 684.25
15 251.65625 682.25
15 253.140625 681.5
15 254.671875 681.25
15 256.046875 680.5
15 257.40625 681.25
15 258.859375 680.5
15 260.4375 681.75
15 261.765625 685.25
15 263.171875 687.0
15 264.625 688.5
15 266.078125 693.0
15 267.40625 699.25
15 268.171875 1130.5
12 271.796875 2200.25
15 274.390625 832.25
15 278.90625 2312.25
15 280.328125 2331.75
15 286.90625 1007.75
15 296.03125 2737.25
15 297.453125 2835.25
15 298.9375 2878.25
15 300.40625 2906.25
15 301.8125 2903.25
15 309.6875 1263.25
15 310.875 1552.5
