Quality Angle(degree) Distance(mm)
12 357.34375 243.5
11 357.109375 243.75
15 298.0 2919.75
15 299.484375 2989.25
15 301.5625 1244.75
15 302.3125 3177.25
15 305.15625 3396.0
13 311.875 287.0
9 331.765625 244.5
10 333.015625 242.75
12 335.203125 242.75
13 335.859375 240.25
15 336.65625 239.75
15 337.921875 239.5
15 341.296875 238.5
15 340.90625 238.25
15 342.75 238.25
15 343.875 238.5
15 345.96875 238.25
15 348.46875 238.75
15 349.921875 239.25
15 350.21875 239.75
15 351.21875 240.5
15 354.1875 241.0
15 354.9375 242.0
13 355.25 244.0
