Quality Angle(degree) Distance(mm)
15 72.265625 1339.5
15 73.71875 1385.5
15 78.0 1440.75
15 81.890625 2417.75
15 84.453125 776.0
12 86.046875 2729.75
12 88.75 3979.25
15 92.0 1941.75
15 93.375 2261.5
15 94.75 2424.5
15 96.109375 2738.0
15 100.15625 874.0
15 100.484375 2380.25
15 101.953125 2422.75
15 106.0 820.5
15 110.34375 770.75
13 110.484375 2493.5
15 111.84375 3041.25
15 114.375 952.5
12 114.65625 3386.25
15 117.078125 1045.0
8 117.578125 2902.5
15 118.984375 3273.75
15 120.359375 3768.0
15 121.828125 3490.5
15 128.171875 1345.75
15 133.828125 1555.75
15 136.609375 1746.0
15 144.40625 365.5
15 145.46875 360.5
15 146.90625 372.5
15 148.671875 363.5
15 149.921875 346.25
15 151.75 345.75
15 152.796875 348.25
15 154.25 352.5
15 155.828125 360.0
15 156.96875 376.75
15 158.375 386.75
15 159.765625 392.75
15 162.234375 2284.25
15 163.703125 2114.5
15 165.15625 2087.25
15 171.921875 318.75
15 173.828125 315.0
15 175.09375 317.75
15 176.21875 320.5
15 177.75 322.5
15 179.40625 323.75
15 180.234375 326.5
15 182.328125 327.25
15 183.328125 329.5
15 184.515625 331.5
8 190.5625 5153.75
15 192.40625 2061.0
15 194.015625 1688.5
15 195.3125 1967.75
15 196.609375 2481.0
15 198.1875 1970.25
15 199.484375 2431.25
15 201.828125 949.25
15 202.296875 2635.5
11 206.515625 3265.75
15 208.03125 2780.0
15 210.40625 957.75
12 210.84375 3026.75
12 212.296875 2929.5
15 217.640625 919.0
15 219.078125 954.25
15 220.515625 954.5
15 220.984375 2583.25
7 225.015625 811.5
12 225.3125 2495.75
15 226.78125 2438.0
15 229.65625 2377.0
15 233.578125 917.75
15 234.984375 900.0
15 242.640625 2179.25
15 248.390625 2137.75
15 249.84375 2129.0
15 252.328125 852.5
15 254.890625 511.25
15 254.171875 2115.75
15 261.390625 2136.25
15 265.703125 2151.5
15 268.515625 2171.25
15 272.453125 852.5
15 274.03125 814.0
15 274.265625 2223.0
15 278.203125 807.25
15 278.484375 2284.75
15 279.921875 2323.5
15 281.375 2342.5
15 287.40625 601.0
15 287.046875 2479.25
15 291.328125 2590.75
15 295.125 948.75
15 296.578125 990.75
15 297.828125 1117.5
15 307.0625 3229.25
15 308.515625 3279.75
15 309.9375 3330.0
9 317.96875 294.5
