Quality Angle(degree) Distance(mm)
15 243.09375 643.5
15 244.65625 640.75
15 246.03125 639.0
15 247.546875 636.0
15 248.8125 635.25
15 250.484375 634.75
15 251.875 634.5
15 253.203125 633.0
15 254.640625 633.75
15 256.125 634.25
15 257.484375 635.5
15 259.109375 637.5
15 260.453125 641.0
15 261.9375 644.75
15 263.328125 646.25
15 270.34375 2187.5
15 271.796875 2205.75
15 273.21875 2241.5
15 274.625 2258.25
15 276.03125 2289.25
15 277.5 2316.25
15 278.921875 2345.75
15 281.671875 733.25
15 281.765625 2402.5
15 285.0625 1438.75
15 292.609375 1109.0
15 299.734375 1231.5
9 300.421875 3266.75
12 308.40625 1181.0
6 313.46875 301.25
9 348.546875 253.0
