Quality Angle(degree) Distance(mm)
15 35.453125 2527.5
15 37.78125 980.5
15 48.171875 799.75
15 51.484375 2029.5
15 52.90625 2003.0
15 55.171875 918.0
15 55.8125 1925.25
15 57.734375 1218.75
15 60.671875 1130.5
15 62.234375 1105.75
15 63.75 1053.75
15 65.109375 1035.0
15 66.671875 1012.25
15 68.0625 1004.25
15 69.53125 998.5
15 70.984375 991.75
15 72.484375 996.0
15 73.84375 983.0
15 75.328125 969.75
15 76.828125 928.0
15 78.484375 821.75
15 79.921875 830.0
15 81.46875 790.5
15 82.8125 845.5
15 84.28125 824.25
15 85.734375 838.5
15 87.03125 850.75
15 88.640625 836.0
15 89.796875 918.75
15 91.421875 874.25
15 92.875 870.25
15 94.25 860.75
15 95.78125 833.25
15 97.265625 831.5
15 98.625 825.25
15 100.1875 829.0
15 101.609375 826.25
15 105.90625 842.0
15 107.28125 857.25
15 108.65625 865.25
15 110.203125 872.25
15 111.625 867.25
15 113.03125 879.25
15 114.421875 898.0
15 115.875 918.5
15 117.25 942.25
15 118.65625 940.75
15 120.125 969.5
15 121.453125 989.25
15 122.84375 1016.5
15 124.390625 1013.75
15 125.796875 1017.75
15 127.234375 1025.25
15 128.578125 1039.0
15 130.078125 1054.75
15 131.453125 1087.25
15 132.890625 1107.0
15 134.296875 1149.25
15 135.703125 1184.75
15 137.0 1218.5
15 138.515625 1239.0
15 139.921875 1254.25
15 141.28125 1297.0
15 142.71875 1321.25
15 146.171875 461.5
15 147.71875 439.75
15 149.546875 426.25
15 150.8125 421.0
15 152.25 421.25
15 153.953125 423.25
15 155.21875 429.0
15 156.734375 437.25
15 157.84375 453.0
15 159.296875 469.0
12 161.03125 2161.25
15 164.59375 543.25
15 166.046875 519.5
15 167.78125 491.25
15 169.125 482.25
15 170.734375 481.0
15 172.078125 480.5
15 173.484375 483.0
15 174.796875 487.5
15 176.453125 489.0
15 177.59375 497.75
15 179.671875 2703.5
15 181.25 2201.5
12 183.921875 3203.0
15 185.796875 1684.75
15 187.171875 1773.25
10 188.65625 1621.0
15 190.25 1413.5
15 194.5 1577.0
15 195.953125 1568.25
15 199.125 1205.25
15 202.953125 1899.25
15 205.234375 904.75
15 206.546875 982.0
15 208.0625 976.5
15 211.015625 904.5
8 219.015625 1528.0
15 221.515625 2532.25
15 223.265625 1581.75
15 229.5 1072.5
15 231.453125 771.0
15 232.890625 799.0
15 234.25 813.5
15 235.6875 824.25
15 237.0625 821.5
15 241.78125 697.5
15 243.125 723.5
15 249.703125 1074.5
15 251.46875 850.0
12 254.015625 1043.0
15 257.21875 861.5
15 262.65625 1079.5
15 264.40625 893.25
15 265.84375 918.25
15 267.046875 1017.75
15 268.609375 950.5
12 274.296875 976.25
15 278.375 1237.25
15 279.984375 1029.75
15 281.3125 1102.0
15 282.875 1040.5
9 284.265625 1081.75
12 285.578125 1219.0
15 286.890625 1319.0
15 288.328125 1312.75
15 292.171875 697.0
15 304.109375 1538.5
15 305.640625 1304.25
8 308.359375 1653.75
