Quality Angle(degree) Distance(mm)
12 356.234375 243.0
8 357.671875 244.0
15 270.078125 799.25
15 273.203125 2328.5
15 274.578125 2354.75
15 276.015625 2381.75
15 277.453125 2417.75
15 281.875 1890.25
15 285.4375 1024.0
15 287.03125 939.5
15 292.578125 1057.25
15 295.109375 1373.0
15 299.59375 1257.0
15 300.953125 1331.75
15 305.03125 1585.5
15 311.203125 291.25
9 331.453125 243.5
10 333.0 242.25
14 335.1875 240.25
15 336.59375 240.0
15 339.203125 240.25
15 338.75 239.25
15 340.671875 238.75
15 341.703125 238.0
15 344.953125 238.0
15 346.40625 238.25
15 345.96875 238.5
15 348.390625 238.5
15 349.421875 239.0
15 350.703125 240.25
15 353.828125 240.5
15 354.96875 241.5
14 355.125 241.75
