Quality Angle(degree) Distance(mm)
15 117.828125 965.75
15 124.703125 286.0
15 126.25 273.25
15 127.546875 271.5
15 129.734375 272.5
15 130.15625 275.75
15 132.359375 278.0
15 132.9375 280.5
15 135.1875 281.0
15 136.15625 281.5
15 137.171875 286.5
15 138.921875 291.0
15 140.609375 298.0
15 145.8125 2334.25
15 147.234375 2308.25
15 148.6875 2284.25
15 150.1875 2195.5
15 151.609375 2154.75
15 153.09375 2148.0
15 154.546875 2132.75
15 155.9375 2121.75
15 157.25 2515.5
15 158.71875 2532.25
9 161.25 6501.5
12 162.71875 6246.0
15 164.171875 5590.5
15 165.65625 4941.0
15 171.109375 347.25
15 172.84375 340.75
15 174.390625 336.25
15 175.375 333.25
15 177.296875 329.0
15 178.34375 328.0
15 179.78125 328.0
15 181.359375 329.75
15 182.5625 332.25
15 184.625 333.0
15 185.609375 336.5
15 186.96875 342.0
15 188.65625 352.25
15 191.078125 1251.5
15 193.78125 1478.0
15 199.734375 1171.0
9 200.484375 2783.0
15 201.96875 2696.5
15 203.40625 2638.75
15 204.859375 2570.0
15 206.328125 2513.5
15 207.78125 2459.0
15 209.265625 2392.5
15 213.609375 2274.75
15 215.046875 2249.0
15 216.5 2222.0
15 217.9375 2191.5
15 221.78125 874.0
15 227.53125 891.5
15 228.078125 2029.5
15 230.953125 1973.25
15 235.3125 1950.75
15 246.359375 841.0
15 247.703125 869.0
15 249.15625 834.0
15 253.625 831.0
15 258.3125 1961.0
15 259.734375 1972.25
15 261.21875 1974.0
15 262.65625 1987.75
15 264.078125 2000.25
15 266.5 843.5
15 266.953125 2027.25
15 268.359375 2064.75
15 269.8125 2064.25
15 271.265625 2108.0
15 272.6875 2118.25
15 274.109375 2143.75
15 278.34375 2244.75
15 281.1875 2302.75
15 282.625 2356.75
13 289.765625 2589.5
15 291.90625 1192.25
15 293.328125 1133.0
11 294.015625 2803.5
15 296.140625 1179.0
15 301.6875 1574.25
15 303.296875 1359.0
7 313.203125 297.0
8 347.015625 255.25
